Date,Season,Days,12:00 AM,1:00 AM,2:00 AM,3:00 AM,4:00 AM,5:00 AM,6:00 AM,7:00 AM,8:00 AM,9:00 AM,10:00 AM,11:00 AM,12:00 PM,1:00 PM,2:00 PM,3:00 PM,4:00 PM,5:00 PM,6:00 PM,7:00 PM,8:00 PM,9:00 PM,10:00 PM,11:00 PM
3/24/2015,2,2,1934,1411,1130,1160,1897,4950,8540,10497,9967,8610,7761,8038,8648,9154,10292,11652,13295,13272,10716,8360,7281,6008,4954,3614
3/25/2015,2,3,2239,1451,1213,1208,1996,5100,8538,10001,8644,8509,7604,8125,8752,9250,10397,11956,13190,13342,10779,8245,7416,6138,4953,3762
3/26/2015,2,4,2277,1569,1299,1372,2005,5089,8476,10672,9877,8760,8009,8241,9007,9590,10260,12154,13414,13128,10946,8677,7893,6294,5169,3989
3/27/2015,2,5,2610,1747,1366,1427,2051,4887,8391,10682,9991,8927,8543,8953,9698,10248,11090,12654,13687,13393,12020,10342,8305,6490,6173,5476
3/28/2015,2,6,3970,2894,2399,2116,1695,2315,3570,5010,5756,5081,5999,6243,6303,6282,6400,6401,6265,6338,5981,6556,6501,6031,5473,5076
3/29/2015,2,7,4000,2910,2540,2142,1344,1466,2286,3322,4285,5875,6367,6391,6837,7847,7375,7214,7253,7249,7297,6793,6250,5455,4596,3421
3/30/2015,2,1,2260,1369,1135,1202,2030,5080,7838,9440,8553,8297,7420,7931,8581,8900,9986,11129,12326,12652,9854,7586,6759,5561,4592,3265
3/31/2015,2,2,2069,1407,1136,1270,1907,5002,8473,10615,9885,8897,8010,8008,8656,9106,9899,11403,12451,12778,10015,8154,6638,5403,4744,3451
4/1/2015,2,3,2077,1392,1207,1363,1922,5025,8323,10458,9807,8898,8325,8611,8822,9628,10263,11715,12954,13220,10584,8786,7927,6303,5058,3937
4/2/2015,2,4,2417,1658,1355,1413,2032,5048,8478,10677,10004,8779,8368,8322,9216,9655,10518,12145,12957,13292,10213,8577,7593,6460,5227,4115
4/3/2015,2,5,2782,1866,1541,1493,2018,4595,8216,9903,8735,8566,8985,9415,10233,10724,11631,12806,13090,12420,10697,9241,8623,8080,7136,5919
4/4/2015,2,6,4211,2985,2380,2094,1606,2113,3348,4594,5934,7660,8153,8953,9307,9684,9928,9985,9829,9487,8899,8920,7960,7609,6499,5744
4/5/2015,2,7,3906,2768,2183,1864,1218,1629,2411,3315,4491,6667,8174,7403,8469,10344,10835,10422,9405,9292,9248,9288,8748,6493,5617,3792
4/6/2015,2,1,2377,1467,1137,1199,1997,4850,7532,8651,8518,8263,7971,8489,8738,9430,10389,11062,12158,12354,9583,7569,6020,4809,4094,3151
4/7/2015,2,2,2004,1400,1113,1252,1896,4812,7689,9058,8807,8493,8515,8019,9031,9224,9986,11036,11926,12044,10137,8431,7438,6293,5194,3811
4/8/2015,2,3,2322,1535,1342,1469,2097,5014,7805,9087,8621,8692,8446,8515,9224,9289,9919,11146,12054,12077,10478,8995,8432,6603,5243,3999
4/9/2015,2,4,2478,1791,1498,1536,2132,4859,7646,8889,8876,8831,8683,8158,9320,9285,10346,11021,11270,11176,10213,8849,8280,6720,5536,4043
4/10/2015,2,5,2744,1885,1489,1485,2033,4547,7229,8582,8527,8415,7970,8451,8720,9370,10319,11519,12294,11721,9039,8093,7633,6633,6361,5269
4/11/2015,2,6,4226,2594,2216,1843,1574,2298,3654,4830,6311,8150,8927,8940,9305,10065,10126,10400,10156,10139,9490,8968,8978,8695,7484,6006
4/12/2015,2,7,4507,3094,2450,2058,1425,1489,2407,3302,4501,6414,8063,7721,8612,10249,9841,9620,9168,9002,8939,8139,7412,5787,4683,3349
4/13/2015,2,1,2237,1400,1119,1186,2056,5195,7835,9524,9777,8226,7326,7990,8413,9047,9878,11233,12526,12558,9632,7261,5823,5172,4544,3241
4/14/2015,2,2,2029,1380,1065,1201,1930,4875,7980,10561,9667,8509,7759,7930,8640,9126,10159,11417,13155,12941,10201,8314,6627,5717,4664,3426
4/15/2015,2,3,2015,1434,1180,1297,1971,4909,7699,8754,9016,8751,7875,8332,8706,9148,10448,11625,13294,13070,10348,8193,7020,5914,4715,3461
4/16/2015,2,4,2211,1501,1345,1310,1988,4864,8410,11064,9565,8686,8375,7987,9015,9492,10530,11583,12998,13203,10346,8035,6819,5934,4939,3643
4/17/2015,2,5,2291,1598,1371,1406,2019,4826,8114,10420,9326,8304,8401,8697,8917,9863,10477,12165,12470,11858,10632,9060,7462,6820,6248,5715
4/18/2015,2,6,4342,2705,2209,1896,1439,2180,4054,4921,6221,7139,7679,8123,8742,8907,9139,8939,8070,8175,7790,7477,7044,6355,6050,5710
4/19/2015,2,7,4241,3021,2502,2032,1329,1374,2251,3101,3906,5688,6635,6447,7101,8745,8727,8468,8621,7985,7550,6567,7010,5694,4559,3273
4/20/2015,2,1,2273,1427,1187,1332,2104,5009,7976,10438,9768,8385,7927,8086,8648,9382,10187,11406,12644,12386,9564,7431,6383,5379,4414,3317
4/21/2015,2,2,2164,1456,1188,1289,2034,5044,8650,10675,9967,7922,7880,7779,8400,8876,10084,12049,13541,12951,10287,8189,7093,5986,4821,3464
4/22/2015,2,3,2217,1447,1225,1284,1997,4996,8684,10618,9467,8744,7982,8552,8752,9400,10636,12068,12973,12698,10595,8840,7684,6083,5209,3753
4/23/2015,2,4,2348,1573,1348,1327,2050,4980,8639,10583,9837,8644,8059,8484,9055,9545,10350,12354,13511,13347,10638,8503,7379,6494,5205,3746
4/24/2015,2,5,2431,1726,1421,1444,2072,4804,8595,10607,9736,8755,8582,9050,9983,10401,11327,12775,13807,13148,11778,10156,8643,7352,6706,5851
4/25/2015,2,6,4776,2963,2411,1986,1640,2278,3310,4199,5302,6577,7097,7270,8095,8393,8366,8020,8066,7981,7842,7659,6933,6508,5979,5230
4/26/2015,2,7,4004,2922,2581,2150,1413,1490,2538,3531,4666,6357,7543,7130,7670,8769,8301,8366,8096,8248,8550,8134,7602,6556,4856,3533
4/27/2015,2,1,2416,1371,1065,1156,2052,5036,8603,10579,9042,8072,7709,7784,8529,9213,9628,11460,12738,12603,9493,7531,6172,5381,4477,3180
4/28/2015,2,2,1993,1263,1139,1167,1945,5096,8730,10801,9164,8961,8016,8098,8848,9228,9860,11433,12984,13084,10256,8186,6861,5771,4772,3362
4/29/2015,2,3,2065,1423,1234,1238,1945,4896,7663,9375,9396,8035,7291,7411,8016,9154,10005,11618,12849,12621,10067,7554,6809,6121,5186,3522
4/30/2015,2,4,2340,1720,1413,1320,2036,5008,8042,10350,10270,8910,8189,8527,9248,9523,10165,11859,13165,13084,10222,8598,7552,6629,5574,4030
5/1/2015,2,5,2435,1834,1473,1443,2095,4960,8552,10348,9374,8952,8578,9108,9875,10319,11109,12456,12351,13106,11464,9993,8407,6995,6684,5640
5/2/2015,2,6,3875,2807,2354,1985,1593,2354,3920,5130,5965,6837,7212,7398,7432,7675,7928,8784,9132,9332,8793,8862,9204,9404,7599,4642
